Type,Product Name,Product Type,Description
Curly Hair,Curly Hair Shampoo,Shampoo,Formulated specifically to cleanse and define curly hair without stripping moisture.
Curly Hair,Leave-in Conditioner,Conditioner,Provides long-lasting hydration and helps in defining curls.
Curly Hair,Frizz Control Serum,Serum,Reduces frizz and adds shine to curly hair.
Curly Hair,Deep Conditioning Mask,Mask,Repairs and nourishes dry, curly hair.
Curly Hair,Curly Hair Gel,Styling,Defines curls and keeps them in place all day without crunch.
Curly Hair,Detangling Spray,Spray,Helps in easy detangling and adds moisture to curls.
Curly Hair,Hair Mousse,Styling,Provides volume and definition to curly hair without weighing it down.
Curly Hair,Hydrating Curl Cream,Styling,Defines curls and reduces frizz while keeping hair hydrated.
Curly Hair,Shine Spray,Spray,Adds a glossy finish to curls and protects from humidity.
Curly Hair,Scalp Scrub,Exfoliant,Exfoliates and removes buildup from the scalp, promoting healthy curl growth.
Straight Hair,Moisturizing Shampoo,Shampoo,Gently cleanses and nourishes straight hair for a smooth finish.
Straight Hair,Light Conditioner,Conditioner,Lightweight and hydrating, perfect for straight hair that needs moisture without heaviness.
Straight Hair,Heat Protectant Spray,Spray,Protects hair from heat damage during styling.
Straight Hair,Smoothing Serum,Serum,Adds shine and smooths frizz for sleek, straight hair.
Straight Hair,Volumizing Mousse,Styling,Adds volume without weighing down straight hair.
Straight Hair,Deep Moisture Mask,Mask,Hydrates and strengthens straight hair without making it limp.
Straight Hair,Shine Enhancer,Spray,Enhances natural shine and leaves straight hair looking glossy.
Straight Hair,Anti-Frizz Cream,Styling,Eliminates frizz and adds smoothness to straight hair.
Straight Hair,Scalp Care Shampoo,Shampoo,Deeply cleanses the scalp, promoting healthy hair growth for straight hair.
Straight Hair,Texturizing Spray,Spray,Adds texture and volume for a fuller, bouncy look.
Wavy Hair,Gentle Shampoo,Shampoo,Hydrates and defines wavy hair without weighing it down.
Wavy Hair,Frizz Control Cream,Styling,Controls frizz while enhancing natural wave patterns.
Wavy Hair,Sea Salt Spray,Spray,Adds texture and volume for a beachy wave look.
Wavy Hair,Leave-in Moisturizer,Conditioner,Provides hydration and defines natural waves.
Wavy Hair,Light Styling Gel,Styling,Defines waves with a natural, soft hold.
Wavy Hair,Volume Boosting Mousse,Styling,Boosts volume and adds fullness to wavy hair.
Wavy Hair,Repairing Oil,Serum,Repairs and nourishes wavy hair, reducing frizz.
Wavy Hair,Anti-Frizz Serum,Serum,Reduces frizz and enhances the natural wave pattern.
Wavy Hair,Hydrating Hair Mask,Mask,Deeply nourishes and strengthens wavy hair, improving elasticity.
Wavy Hair,Texturizing Cream,Styling,Defines waves and adds texture without heaviness.
Oily Skin,Oil-Free Cleanser,Cleanser,Gently cleanses without adding extra moisture, perfect for oily skin.
Oily Skin,Mattifying Moisturizer,Moisturizer,Controls oil and mattifies the skin while keeping it hydrated.
Oily Skin,Exfoliating Scrub,Exfoliant,Removes excess oil and dead skin cells to reveal clear skin.
Oily Skin,Oil Control Toner,Toner,Helps balance and control oil production.
Oily Skin,Acne Treatment Gel,Treatment,Targeted acne treatment for oily skin prone to breakouts.
Oily Skin,Clay Face Mask,Mask,Absorbs excess oil and unclogs pores.
Oily Skin,Oil-Free Sunscreen,Sunscreen,Provides sun protection without clogging pores or adding extra shine.
Oily Skin,Salicylic Acid Serum,Serum,Reduces acne and prevents breakouts by controlling oil production.
Oily Skin,Pore Refining Serum,Serum,Minimizes the appearance of pores and controls excess oil.
Oily Skin,Deep Clean Foaming Wash,Cleanser,Deep-cleanses skin, removing oil and impurities without drying.
Dry Skin,Hydrating Cleanser,Cleanser,Moisturizes and cleanses dry skin without stripping its natural oils.
Dry Skin,Rich Moisturizer,Moisturizer,Deeply nourishes and hydrates dry skin for long-lasting moisture.
Dry Skin,Repairing Night Cream,Moisturizer,Restores moisture and repairs dry skin overnight.
Dry Skin,Hydrating Face Mask,Mask,Intense moisture treatment to replenish dry skin.
Dry Skin,Moisturizing Serum,Serum,Provides a concentrated boost of hydration for dry skin.
Dry Skin,Body Butter,Moisturizer,Rich body cream that deeply moisturizes dry skin.
Dry Skin,Hydration Boosting Toner,Toner,Hydrates and replenishes moisture for dry skin.
Dry Skin,Face Oil,Oil,Nourishes dry skin and seals in moisture.
Dry Skin,Hydrating Mist,Spray,Refreshes and hydrates skin throughout the day.
Dry Skin,Moisturizing Sheet Mask,Mask,Instantly replenishes moisture and hydrates dry skin.
Combination Skin,Balancing Cleanser,Cleanser,Cleanses without stripping, ideal for combination skin.
Combination Skin,Light Moisturizer,Moisturizer,Hydrates dry areas while controlling oil in the T-zone.
Combination Skin,Mattifying Lotion,Moisturizer,Controls shine while moisturizing dry areas of combination skin.
Combination Skin,Hydrating Toner,Toner,Restores moisture balance without over-moisturizing or drying out the skin.
Combination Skin,Spot Treatment,Treatment,Targets blemishes in oily areas without drying out dry areas.
Combination Skin,Exfoliating Mask,Mask,Exfoliates and balances combination skin by targeting both oily and dry areas.
Combination Skin,Serum for Pore Minimizing,Serum,Helps minimize pores and balance skin tone.
Combination Skin,Moisture Boosting Serum,Serum,Deeply hydrates the skin, leaving it plump and balanced.
Combination Skin,Oil-Free Sunscreen,Sunscreen,Protects without clogging pores or making skin greasy.
Combination Skin,Clay Mask,Mask,Targets oily areas while providing hydration to dry skin.
